USER,FRIENDCOUNT
0,7
1,86
2,135
3,88
4,43
5,176
6,27
7,119
8,186
9,40
10,1275
11,225
12,211
13,394
14,173
15,4947
16,195
17,12434
18,34
19,704
20,130
21,872
22,5
23,546
24,35
25,842
26,5
27,546
28,35
29,842
30,23
31,252
32,637
33,89
34,11
35,32
36,330
37,72
38,59
39,461
40,112
41,13
42,294
43,450
44,13
45,371
46,2811
47,534
48,1155
49,749
50,78
51,358
52,630
53,503
54,213
55,37
56,60
57,45
58,65
59,103
60,90
61,112
62,3229
63,2162
64,443
65,182
66,280
67,38
68,8
69,52
70,742
71,120
72,296
73,460
74,63746
75,19
76,104
77,48
78,518
79,2485
80,76
81,806
82,762
83,108
84,398
85,199
86,329
87,170
88,36
89,19
90,31
91,563
92,1414
93,122
94,13029
95,113
96,656
97,754
98,2107
99,838
100,85
101,34
102,72
103,236
104,355
105,20744
106,258
107,234
108,81
109,122
110,42
111,16
112,5931
113,70
114,48
115,56
116,475
117,16353
118,1850
119,676
120,262
121,187
122,4195
123,469
124,235
125,1
126,266
127,1981
128,692
129,43932
130,286
131,77
132,790
133,152
134,410
135,255
136,7
137,86
138,121
139,3503
140,2409
141,4
142,397
143,480
144,2126
145,1351
146,564
147,380
148,66
149,2392
150,837
151,12
152,335
153,616
154,195
155,307
156,101
157,68
158,1056
159,2183
160,1354
161,517
162,292
163,418
164,67
165,65
166,1031
167,657
168,550
169,90
170,96
171,153
172,2234
173,219
174,189
175,240
176,231
177,20
178,298
179,3078
