Domain,Media Type (Determined through Content Analysis),Primary Orientation (Determined through Content Analysis),How Cited in Alternative Narrative of Shooting Events,# Citations in our Alternative Narrative Tweets
abovetopsecret.com,Alternative Media,Conspiracy Theorists,affirm,39
beforeitsnews.com,Alternative Media,Conspiracy Theorists,affirm,580
brasschecktv.com,Alternative Media,Conspiracy Theorists,affirm,11
chemtrailsplanet.net,Alternative Media,Conspiracy Theorists,affirm,15
consciouslifenews.com,Alternative Media,Conspiracy Theorists,affirm,7
deepinsidetherabbithole.com,Alternative Media,Conspiracy Theorists,affirm,57
educate-yourself.org,Alternative Media,Conspiracy Theorists,affirm,44
fellowshipoftheminds.com,Alternative Media,Conspiracy Theorists,affirm,81
forbiddenknowledgetv.net,Alternative Media,Conspiracy Theorists,affirm,50
freedom-articles.toolsforfreedom.com,Alternative Media,Conspiracy Theorists,affirm,28
fusionlacedillusions.com,Alternative Media,Conspiracy Theorists,affirm,17
lucidawakenings.net,Alternative Media,Conspiracy Theorists,affirm,42
moralmatters.org,Alternative Media,Conspiracy Theorists,affirm,88
neonnettle.com,Alternative Media,Conspiracy Theorists,affirm,95
politicalvelcraft.org,Alternative Media,Conspiracy Theorists,affirm,22
secretsofthefed.com,Alternative Media,Conspiracy Theorists,affirm,52
sgtreport.com,Alternative Media,Conspiracy Theorists,affirm,35
somicom.com,,Conspiracy Theorists,affirm,67
thedailysheeple.com,Alternative Media,Conspiracy Theorists,affirm,58
theeventchronicle.com,Alternative Media,Conspiracy Theorists,affirm,46
themillenniumreport.com,Alternative Media,Conspiracy Theorists,affirm,7
therealstrategy.com,Alternative Media,Conspiracy Theorists,affirm,7113
wakingtimes.com,Alternative Media,Conspiracy Theorists,affirm,41
whatreallyhappened.com,Alternative Media,Conspiracy Theorists,affirm,14
worldtruth.tv,Alternative Media,Conspiracy Theorists,affirm,54
21stcenturywire.com,Alternative Media,Political Agenda,affirm,62
activistpost.com,Alternative Media,Political Agenda,affirm,175
blacklistednews.com,Alternative Media,Political Agenda,affirm,15
dailystormer.com,Alternative Media,Political Agenda,affirm,92
dcclothesline.com,Alternative Media,Political Agenda,affirm,233
freedomoutpost.com,Alternative Media,Political Agenda,affirm,51
fromthetrenchesworldreport.com,Alternative Media,Political Agenda,affirm,60
globalresearch.ca,Alternative Media,Political Agenda,affirm,58
govtslaves.info,Alternative Media,Political Agenda,affirm,68
heathenwomen.com,Alternative Media,Political Agenda,affirm,7
infowars.com,Alternative Media,Political Agenda,affirm,1741
intellihub.com,Alternative Media,Political Agenda,affirm,27
investmentwatchblog.com,Alternative Media,Political Agenda,affirm,165
katehon.com,Alternative Media,Political Agenda,affirm,44
madashellnews.com,Alternative Media,Political Agenda,affirm,13
nodisinfo.com,Alternative Media,Political Agenda,affirm,774
paulcraigroberts.org,Alternative Media,Political Agenda,affirm,58
redflagnews.com,Alternative Media,Political Agenda,affirm,29
renegadetribune.com,Alternative Media,Political Agenda,affirm,32
scoopfeed.net,Alternative Media,Political Agenda,affirm,21
stateofthenation2012.com,Alternative Media,Political Agenda,affirm,59
superstation95.com,Alternative Media,Political Agenda,affirm,23
thetruthseeker.co.uk,Alternative Media,Political Agenda,affirm,44
tomatobubble.com,Alternative Media,Political Agenda,affirm,35
veteranstoday.com,Alternative Media,Political Agenda,affirm,586
yournewswire.com,Alternative Media,Political Agenda,affirm,153
zerohedge.com,Alternative Media,Political Agenda,affirm,52
lewrockwell.com,Alternative Media,Political Agenda,affirm,10
heavy.com,Alternative Media,Tabloid|Clickbait News,as evidence,19
breitbart.com,Alternative Media,Political Agenda,as evidence,41
newsbusters.org,Alternative Media,Political Agenda,as evidence,1217
occupydemocrats.com,Alternative Media,Political Agenda,as evidence,7
thefreethoughtproject.com,Alternative Media,Political Agenda,as evidence,11
rawstory.com,Alternative Media,Political Agenda,deny,308
addictinginfo.org,Alternative Media,Tabloid|Clickbait News,deny,8
