Domain,URL count,Tweet count
panorama.it,1,4
politwoops.eu,1,1
truckingnews.us,1,1
syriadirect.org,2,3
npr.org,1,39
ukcolumn.org,1,1
chroniclesofshame.com,1,2
latimes.com,1,2
wrongkindofgreen.org,16,51
strategic-culture.org,1,2
governmentslaves.news,3,15
syrianobserver.com,1,6
detroitsportsnation.com,1,3
newstwenty.com,1,1
gothamist.com,1,1
sinkers.org,1,1
researchgate.net,1,6
makewarshistory.co.uk,1,6
rt.com,20,1598
syriauntold.com,1,7
cgtn.com,1,34
bibliotecapleyades.net,1,2
breitbart.com,3,27
gmanetwork.com,1,1
elethos.gr,2,4
theeventchronicle.com,1,3
filmaffinity.com,1,1
therussophile.org,2,7
islamtimes.org,1,4
twitter.com,1,1
tcf.org,1,33
themillenniumreport.com,2,3
beforeitsnews.com,11,86
darkpolitricks.com,1,3
dailysabah.com,2,36
arretsurinfo.ch,2,20
searchscot.co.uk,1,2
environmentguru.com,1,2
newsatw.com,1,1
aldorars.com,1,2
buzzfeed.com,1,42
authorsandspeakersnetwork.com,1,1
floridadiary.com,1,1
npostart.nl,1,2
littleinfocue.com,1,1
sky.com,1,124
jist.news,1,1
indicator.gr,1,1
repubblica.it,1,1
lansingstatejournal.com,1,6
truepublica.org.uk,2,13
lawfareblog.com,1,1
alwaght.com,1,17
safrica24.com,1,1
patreon.com,1,1
dazeddigital.com,1,1
overnewser.com,6,18
plenglish.com,1,1
eleftherostypos.gr,1,2
dub.io,1,1
eventbrite.co.uk,1,9
duduradio.com,1,1
furor.tv,1,3
sawaus.org,1,1
15minutenews.com,1,1
el32.com,1,7
detajm.pl,1,1
arabtv6.com,1,2
spiegel.de,1,1
livingpgh.com,1,1
momcollective.com,1,1
insideover.com,1,2
therebel.media,1,11
newslocker.com,38,63
syrianews.cc,11,437
imagetwist.com,1,1
itv.com,1,83
tribunnews.com,1,8
geopolitics.co,2,68
hpub.org,1,1
buzzbry.com,1,1
dpgmedia.nl,1,1
altnews.top,1,3
jocoxfoundation.org,1,1
armradio.am,1,1
arrahmah.com,1,2
yle.fi,2,2
corneey.com,1,8
dierotepille.com,1,2
topix.com,2,2
tumblr.com,9,13
wired.com,1,113
theregion.org,2,8
politwoops.co.uk,1,1
millenniumpost.in,1,1
thesyriacampaign.org,2,112
change.org,1,2
gooadv.com,1,1
notinthenews.uk,3,3
alligatorarmy.com,1,17
chicagotribune.com,1,1
parstoday.com,1,3
canli-iddaa-siteleri23.com,1,1
tempo.co,1,10
newstwe.com,1,3
larepublica.es,1,1
iroon.com,1,1
ronpaulamerica.com,1,9
