Domain,Country,Notes
ActivistPost.com,United States,
AgeOfAutism.com,United States,
AltHealthWorks.com,United States,
AmericanActionNews.com,United States,
AmericaFirstProjects.com,United States,
AmericasFrontlineDoctorSummit.com,United States,
AmericanThinker.com,United States,
BB4SP.com,United States,
BeforeItsNews.com,United States,
BigLeaguePolitics.com,United States,
BreakingChristianNews.com,United States,
Breitbart.com,United States,
Brighteon.com,United States,
BuffaloChronicle.com,United States,
Channel22News.com,United States,
ChaosPost.com,United States,
CharismaNews.com,United States,
ChildrensHealthDefense.org,United States,
ClashDaily.com,United States,
Collective-Evolution.com,United States,
ConservativeDailyPost.com,United States,
ConservativePost.com,United States,
ConservativeTreeHouse.com,United States,
Covid19Refusers.com,United States,
CuriousMindMagazine.com,United States,
DailyPatriotReport.com,United States,
DailyPoliticalNewswire.com,United States,
DavidHarrisJr.com,United States,
DCClothesline.com,United States,
DCDirtyLaundry.com,United States,
DiamondandSilk.com,United States,
Disrn.com,United States,
DJHJMedia.com,United States,
DoctorDavidFriedman.com,United States,
DrSergeGregoire.com,United States,
En-Volve.com,United States,
FakePandemic.com,United States,
FinishTheRace.com,United States,
FrontPageMag.com,United States,
FTBAgency.com,United States,
GellerReport.com,United States,
GlennBeck.com,United States,
GNews.org,United States,
GreenMedInfo.com,United States,
HealingOracle.ch,United States,
HealthImpactNews.com,United States,
HealthNutNews.com,United States,
Herbs-Info.com,United States,
HolisticHealth.one,United States,
HomeNaturalCures.com,United States,
HumansAreFree.com,United States,
InformationLiberation.com,United States,
InfoWars.com,United States,
Intellihub.com,United States,
JimBakkerShow.com,United States,
JimHumble.co,United States,
KellyBroganMD.com,United States,
MadWorldNews.com,United States,
Medicine-Today.net,United States,
Mercola.com,United States,
NaturalHealth365.com,United States,
NewsBlaze.com,United States,
Newsmax.com,United States,
NourishingTraditions.com,United States,
NowTheEndBegins.com,United States,
n5ti.com,United States,
OANN.com,United States,
Objectivist.co,United States,
OrganicConsumers.org,United States,
PJMedia.com,United States,
PlandemicMovie.com,United States,
PowderedWigSociety.com,United States,
Prageru.com,United States,
PrankMania.com,United States,
Prntly.com,United States,
PuppetStringNews.com,United States,
RealFarmacy.com,United States,
RedState.com,United States,
RedStateWatcher.com,United States,
Revolver.news,United States,
RonPaulInstitute.org,United States,
RushLimbaugh.com,United States,
ShadOlsonShow.com,United States,
SMObserved.com,United States,
SonsOfLibertyMedia.com,United States,
SOTT.net,United States,
StopMandatoryVaccination.com,United States,
Technocracy.news,United States,
TechStartups.com,United States,
TheAlternativeDaily.com,United States,
TheAmericanMirror.com,United States,
TheBlaze.com,United States,
TheBL.com,United States,
TheConservativeTreeHouse.com,United States,
TheDonald.win,United States,
TheEpochTimes.com,United States,
TheFullertonInformer.com,United States,
TheGatewayPundit.com,United States,
TheHealthyAmerican.org,United States,
TheHighWire.com,United States,
TheHornNews.com,United States,
TheLibertyEagle.com,United States,
TheMindUnleashed.com,United States,
ThePuristOnline.com,United States,
TheTrumpNewsGazette.com,United States,
TheTruthAboutCancer.com,United States,
TheWashingtonSentinel.com,United States,
TheWashingtonStandard.com,United States,
TheWeeklyObserver.com,United States,
TheVaccineReaction.org,United States,
TierneyRealNewsNetwork.com,United States,
TruePundit.com,United States,
TrumpTrainNews.com,United States,
TruthUncensored.net,United States,
Vaxxter.com,United States,
WakingTimes.com,United States,
WashingtonTimes.com,United States,
WatchUncensored.com,United States,
WayneDupree.com,United States,
WestonAPrice.org,United States,
WND.com,United States,
WorldHealth.net,United States,
WorldNewsDailyReport.com,United States,
WorldTruth.tv,United States,
ZeroHedge.com,United States,
21stCenturyWire.com,United States,
C19Study.com,United States,COVIDAnalysis Network
C19HCQ.com,United States,COVIDAnalysis Network
HCQTrial.com,United States,COVIDAnalysis Network
NauralNews.com,United States,NaturalNews.com Network 
NaturalNews.com,United States,NaturalNews.com Network 
Banned.news,United States,NaturalNews.com Network 
Biased.news,United States,NaturalNews.com Network 
BigPharmaNews.com,United States,NaturalNews.com Network 
Bioterrorism.news,United States,NaturalNews.com Network 
BreakThrough.news,United States,NaturalNews.com Network 
CaliforniaCollapse.news,United States,NaturalNews.com Network 
CDC.news,United States,NaturalNews.com Network 
Censorship.news,United States,NaturalNews.com Network 
ClearNewsWire.com,United States,NaturalNews.com Network 
Collapsifornia.com,United States,NaturalNews.com Network 
Conspiracy.news,United States,NaturalNews.com Network 
Cures.news,United States,NaturalNews.com Network 
DangerousMedicine.com,United States,NaturalNews.com Network 
Depopulation.news,United States,NaturalNews.com Network 
Discoveries.news,United States,NaturalNews.com Network 
Disinfo.news,United States,NaturalNews.com Network 
DrugCartels.news,United States,NaturalNews.com Network 
Eugenics.news,United States,NaturalNews.com Network 
Extinction.news,United States,NaturalNews.com Network 
FactCheck.news,United States,NaturalNews.com Network 
Faked.news,United States,NaturalNews.com Network 
FluSurvival.com,United States,NaturalNews.com Network 
Freedom.news,United States,NaturalNews.com Network 
Genocide.news,United States,NaturalNews.com Network 
GeneticLunancy.com,United States,NaturalNews.com Network 
Healing.news,United States,NaturalNews.com Network 
Health.news,United States,NaturalNews.com Network 
HealthFreedom.news,United States,NaturalNews.com Network 
HealthRangerReport.com,United States,NaturalNews.com Network 
Herbs.news,United States,NaturalNews.com Network 
Honest.news,United States,NaturalNews.com Network 
Immunization.news,United States,NaturalNews.com Network 
Infections.news,United States,NaturalNews.com Network 
Influenza.news,United States,NaturalNews.com Network 
Journalism.news,United States,NaturalNews.com Network 
MediaFactWatch.com,United States,NaturalNews.com Network 
MedicalExtremism.com,United States,NaturalNews.com Network 
MedicalTyranny.com,United States,NaturalNews.com Network 
MedicalViolence.com,United States,NaturalNews.com Network 
Medicine.news,United States,NaturalNews.com Network 
NaturalCures.news,United States,NaturalNews.com Network 
NaturalHealth.news,United States,NaturalNews.com Network 
NaturalMedicine.news,United States,NaturalNews.com Network 
NaturalNewsRadio.com,United States,NaturalNews.com Network 
Naturopathy.news,United States,NaturalNews.com Network 
NewsFakes.com,United States,NaturalNews.com Network 
NewsTarget.com,United States,NaturalNews.com Network 
NYTWatch.com,United States,NaturalNews.com Network 
OpenBorders.news,United States,NaturalNews.com Network 
Outbreak.news,United States,NaturalNews.com Network 
Pandemic.news,United States,NaturalNews.com Network 
Panic.news,United States,NaturalNews.com Network 
PerscriptionWarning.com,United States,NaturalNews.com Network 
PlantMedicine.news,United States,NaturalNews.com Network 
PopulationControl.news,United States,NaturalNews.com Network 
Propaganda.news,United States,NaturalNews.com Network 
RealInvestigations.news,United States,NaturalNews.com Network 
Remedies.news,United States,NaturalNews.com Network 
Research.news,United States,NaturalNews.com Network 
Risk.news,United States,NaturalNews.com Network 
ScienceClowns.com,United States,NaturalNews.com Network 
ScienceFraud.news,United States,NaturalNews.com Network 
Science.news,United States,NaturalNews.com Network 
